Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2019-12-04 16:35:35,false,"York Running","6.04","636","01:07:42","151","166","163","178","11:13","7:41","97","104","0.88","0.0","0.0","0.0","0.0","0.0","1:07:42","0:00","0.0","0:00","No","00:22.92","7","0.0"
Running,2019-12-02 16:20:55,false,"York Running","4.00","378","00:45:33","138","149","164","181","11:23","5:29","46","42","0.86","0.0","0.0","0.0","0.0","0.0","45:33","0:00","0.0","0:00","No","00:01.50","5","0.0"
Running,2019-12-01 07:35:01,false,"York Running","6.01","537","01:06:03","139","152","169","183","10:59","6:09","51","25","0.87","0.0","0.0","0.0","0.0","0.0","1:06:03","0:00","0.0","0:00","No","00:06.44","7","0.0"
Running,2019-11-27 16:10:24,false,"York Running","3.95","411","00:44:20","148","158","164","177","11:14","9:04","56","55","0.87","0.0","0.0","0.0","0.0","0.0","44:20","0:00","0.0","0:00","No","10:15.70","4","0.0"
Running,2019-11-25 16:52:08,false,"York Running","3.98","413","00:44:33","148","158","165","184","11:12","8:09","66","70","0.87","0.0","0.0","0.0","0.0","0.0","44:33","0:00","0.0","0:00","No","10:45.96","4","0.0"
Running,2019-11-23 07:56:43,false,"York Running","10.00","965","01:50:45","148","164","166","242","11:04","6:35","140","146","0.88","0.0","0.0","0.0","0.0","0.0","1:50:45","0:00","0.0","0:00","No","00:01.100","11","0.0"
Running,2019-11-20 16:24:33,false,"York Running","6.20","617","01:06:48","150","164","166","179","10:46","3:52","107","107","0.90","0.0","0.0","0.0","0.0","0.0","1:06:48","0:00","0.0","0:00","No","02:03.83","7","0.0"
Running,2019-11-18 16:41:28,false,"York Running","3.95","382","00:43:30","145","168","158","177","11:01","3:55","85","89","0.92","0.0","0.0","0.0","0.0","0.0","43:30","0:00","0.0","0:00","No","09:58.49","4","0.0"
Running,2019-11-17 07:41:18,false,"York Running","8.01","779","01:28:19","148","164","168","185","11:02","7:46","115","88","0.87","0.0","0.0","0.0","0.0","0.0","1:28:19","0:00","0.0","0:00","No","00:04.28","9","0.0"
Running,2019-11-13 16:39:43,false,"York Running","6.01","630","01:08:10","151","162","165","179","11:21","6:47","111","96","0.86","0.0","0.0","0.0","0.0","0.0","1:08:10","0:00","0.0","0:00","No","00:05.96","7","0.0"
